Timestamp,Query,Success,ResponseTime(ms),Tokens,Cost,Error
2025-10-13T06:24:15.611Z,"What is TypeScript?",true,3430,585,0.00008775,""
2025-10-13T06:24:22.680Z,"Explain JavaScript promises",true,7068,906,0.0001359,""
2025-10-13T06:24:25.820Z,"What is Docker?",true,3140,478,0.0000717,""
2025-10-13T06:24:25.820Z,"Simulated timeout error",false,0,0,0,"Simulated failure"
2025-10-13T06:24:29.887Z,"What are microservices?",true,4067,751,0.00011265,""
2025-10-13T06:24:29.888Z,"Another simulated error",false,0,0,0,"Simulated failure"
2025-10-13T06:24:34.287Z,"Explain REST APIs",true,4399,801,0.00012014999999999999,""
